FY2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,1995,10.17222,,,,,,,,,,,,,,,,,,,
,1996,10.534592,,,,,,,,,,,,,,,,,,,
,1997,12.681979,,,,,,,,,,,,,,,,,,,
,1998,17.384569,,,,,,,,,,,,,,,,,,,
,1999,14.687875,,,,,,,,,,,,,,,,,,,
,2000,15.843991,,,,,,,,,,,,,,,,,,,
,2001,15.767525,,,,,,,,,,,,,,,,,,,
,2002,12.545337,,,,,,,,,,,,,,,,,,,
,2003,13.210476,,,,,,,,,,,,,,,,,,,
,2004,12.555197,,,,,,,,,,,,,,,,,,,
,2005,14.278041,,,,,,,,,,,,,,,,,,,
,2006,13.669169,,,,,,,,,,,,,,,,,,,
,2007,14.154591,,,,,,,,,,,,,,,,,,,
,2008,13.393901,,,,,,,,,,,,,,,,,,,
,2009,14.711187,,,,,,,,,,,,,,,,,,,
,2010,15.495185,,,,,,,,,,,,,,,,,,,
,2011,14.373544,,,,,,,,,,,,,,,,,,,
,2012,15.057705,,,,,,,,,,,,,,,,,,,
,2013,15.623298,,,,,,,,,,,,,,,,,,,
,2014,16.982463,,,,,,,,,,,,,,,,,,,
,2015,18.070055,,,,,,,,,,,,,,,,,,,
,2016,16.983437,,,,,,,,,,,,,,,,,,,
,2017,18.596823,,,,,,,,,,,,,,,,,,,
,2018,17.219105,,,,,,,,,,,,,,,,,,,
,2019,20.94889,,,,,,,,,,,,,,,,,,,
,2020,21.476977,,,,,,,,,,,,,,,,,,,
,2021,25.8,,,,,,,,,,,,,,,,,,,
,2022,20.9,,,,,,,,,,,,,,,,,,,
,2023,19.1,,,,,,,,,,,,,,,,,,,
,2024,16.12,,,,,,,,,,,,,,,,,,,
,2025,14.78,,,,,,,,,,,,,,,,,,,
